"","Seg 1","Seg 2","Seg 3","Seg 4","Seg 5"
"Q1.1",0.17,0.21,0.03,-0.36,-0.25
"Q1.2",-0.45,-0.14,1.07,0.02,0.15
"Q1.3",0.58,-0.08,0.65,-0.39,-0.73
"Q1.4",0.44,0.11,0.03,-0.4,-0.39
"Q1.5",0.53,0.01,0.33,-0.34,-0.67
"Q1.6",0.59,0.05,0.18,-0.47,-0.54
"Q1.7",0.71,-0.01,0.37,-0.43,-0.82
"Q1.8",-0.32,0.13,0.3,-0.18,0.24
"Q1.9",0.56,-0.15,0.81,-0.29,-0.84
"Q1.10",-0.09,-0.09,0.57,0.11,-0.31
"Q1.11",0.06,0.45,0.29,-1.2,0.52
"Q1.12",-0.71,-0.11,1.09,-0.01,0.56
"Q1.13",0.67,-0.15,0.86,-0.33,-0.98
"Q1.14",0.63,-0.06,0.66,-0.47,-0.75
"Q1.15",0.57,0.05,0.39,-0.53,-0.59
"Q1.16",0.47,0.09,0.66,-0.65,-0.55
"Q1.17",0.4,0.05,0.68,-0.58,-0.47
"Q1.18",0.53,0.06,-0.03,-0.41,-0.38
"Q1.19",0.49,0.11,-0.22,-0.45,-0.15
"Q1.20",0.5,0.07,0.63,-0.61,-0.59
"Q1.21",0.51,0.1,-0.22,-0.4,-0.26
"Q1.22",0.53,0.1,0.04,-0.5,-0.36
"Q1.23",0.55,0.12,0.31,-0.55,-0.61
"Q1.24",0.57,0.06,-0.11,-0.37,-0.43
"Q1.25",0.53,0.09,0.32,-0.61,-0.41
"Q1.26",0.7,-0.13,0.91,-0.44,-0.96
"Q1.27",0.67,-0.02,0.87,-0.61,-0.86
"Q1.28",0.6,0.01,0.66,-0.52,-0.77
"Q1.29",0.44,0.05,0.06,-0.45,-0.18
"Q2",0.03,0.01,0.19,-0.16,0.02
"Q2.Cluster",0.04,0.07,-0.02,-0.22,0.15
"Q3",0.26,-0.02,0.33,-0.18,-0.39
"Q4",0.21,-0.11,0.27,-0.01,-0.33
"Q5",0.51,-0.13,0.6,-0.31,-0.58
"Q6",0.22,-0.06,0.05,-0.01,-0.26
"Q7.1",-0.12,-0.02,0.63,-0.21,0.04
"Q7.2",0.19,0,-0.16,-0.05,-0.11
"Q7.3",0.19,0.04,0,-0.11,-0.25
"Q7.4",0.24,0.02,0.18,-0.17,-0.35
"Q8",0.28,0.19,-0.17,-0.44,-0.05
"Q9.1",-0.04,0.1,0.15,-0.27,0.15
"Q9.2",0.24,-0.03,0.3,-0.2,-0.28
"Q9.3",0.29,-0.06,0.13,-0.04,-0.38
"Q9.4",0.2,-0.03,0.4,-0.12,-0.44
"Q9.5",0.33,-0.06,0.19,-0.03,-0.55
"Q10",0.17,0.05,-0.09,-0.1,-0.18
"Q11",0.08,-0.09,-0.17,0.25,-0.2
"Q12",0.13,-0.02,-0.13,0.03,-0.12
"Q13",0.07,-0.05,0.18,0,-0.16
"Q14",-0.11,0.03,-0.27,0.1,0.2
"Q15",-0.16,0.1,-0.68,0.11,0.45
"Q16",0,-0.02,-0.14,0.08,0.05
"Q16.1",0.12,0.05,0.29,-0.21,-0.24
"Q16.2",0.25,-0.03,0.44,-0.3,-0.25
"Q16.3",0.33,0,0.34,-0.36,-0.26
"Q16.4",0.38,-0.03,0.28,-0.37,-0.21
"Q16.5",0.26,0,0.34,-0.29,-0.28
"Q16.6",0.35,-0.02,0.35,-0.34,-0.33
"Q16.7",0.32,0,0.3,-0.32,-0.29
"Q16.8",0.28,0.01,0.22,-0.32,-0.16
"Q16.9",0.25,0.01,0.17,-0.26,-0.17
"Q16.10",0.32,0.01,-0.03,-0.23,-0.16
"Q16.11",0.21,-0.04,0.39,-0.21,-0.26
"Q16.12",0.38,-0.02,0.04,-0.13,-0.43
"Q16.13",0.35,-0.05,0.38,-0.25,-0.41
"Q16.14",0.42,-0.04,0.29,-0.32,-0.35
"Q16.15",0.4,-0.01,0.16,-0.32,-0.29
"Q16.16",0.37,-0.06,0.34,-0.24,-0.4
"Q16.17",0.32,-0.01,0.22,-0.31,-0.2
"Q16.18",0.3,0,0.2,-0.3,-0.19
"Q16.19",0.35,0.02,0.14,-0.35,-0.19
"Q16.20",0.35,0.03,0.1,-0.32,-0.21
"Q16.21",0.33,-0.02,0.15,-0.31,-0.12
"Q16.22",0.25,0.04,0.12,-0.36,-0.03
"Q16.23",0.33,0.03,0.1,-0.34,-0.16
"Q16.24",-0.02,-0.05,0.57,-0.15,-0.09
"Q16.25",0.34,0.02,0.33,-0.35,-0.35
"Q16.26",0.34,0,0.21,-0.32,-0.23
"Q16.27",0.33,-0.03,0.44,-0.3,-0.38
"Q17",0.26,0.06,0.05,-0.31,-0.12
"Q18",-0.13,0.06,-0.38,0.11,0.24
